"doi","URL","content.type","content.version","intended.application","language","id"
"10.1007/s10460-020-10185-8","https://link.springer.com/content/pdf/10.1007/s10460-020-10185-8.pdf","application/pdf","vor","similarity-checking","en",168
"10.1080/03906701.2018.1529111","https://www.tandfonline.com/doi/pdf/10.1080/03906701.2018.1529111","unspecified","vor","similarity-checking","en",169
"10.2166/wp.2018.103","http://iwaponline.com/wp/article-pdf/21/1/73/528361/021010073.pdf","application/pdf","vor","syndication","en",170
"10.2166/wp.2018.103","http://iwaponline.com/wp/article-pdf/21/1/73/528361/021010073.pdf","unspecified","vor","similarity-checking","en",171
"10.1007/978-3-642-00110-9","http://link.springer.com/content/pdf/10.1007/978-3-642-00110-9.pdf","application/pdf","vor","text-mining",NA,172
"10.1007/978-3-642-00110-9","http://link.springer.com/content/pdf/10.1007/978-3-642-00110-9","unspecified","vor","similarity-checking",NA,173
"10.14254/2071-789x.2017/10-2/1","https://www.economics-sociology.eu/files/05_387_Burns_DeVille.pdf","unspecified","vor","similarity-checking",NA,174
"10.3389/fcomm.2016.00014","http://journal.frontiersin.org/article/10.3389/fcomm.2016.00014/full","unspecified","vor","similarity-checking",NA,175
"10.11606/0103-2070.ts.2016.106017","http://www.revistas.usp.br/ts/article/viewFile/106017/120019","application/pdf","vor","text-mining",NA,176
"10.11606/0103-2070.ts.2016.106017","http://www.revistas.usp.br/ts/article/viewFile/106017/120019","unspecified","vor","similarity-checking",NA,177
"10.1177/1468795x02002001684","http://journals.sagepub.com/doi/pdf/10.1177/1468795X02002001684","application/pdf","vor","text-mining","en",178
"10.1177/1468795x02002001684","http://journals.sagepub.com/doi/pdf/10.1177/1468795X02002001684","unspecified","vor","similarity-checking","en",179
"10.1108/jmlc-04-2021-0030","https://www.emerald.com/insight/content/doi/10.1108/JMLC-04-2021-0030/full/html","unspecified","vor","similarity-checking","en",180
"10.1007/s10963-020-09138-0","http://link.springer.com/content/pdf/10.1007/s10963-020-09138-0.pdf","application/pdf","vor","text-mining","en",181
"10.1007/s10963-020-09138-0","http://link.springer.com/content/pdf/10.1007/s10963-020-09138-0.pdf","application/pdf","vor","similarity-checking","en",182
"10.1177/14749041211020591","http://journals.sagepub.com/doi/pdf/10.1177/14749041211020591","application/pdf","vor","text-mining","en",183
"10.1177/14749041211020591","http://journals.sagepub.com/doi/pdf/10.1177/14749041211020591","unspecified","vor","similarity-checking","en",184
"10.24201/es.2018v36n106.1513","https://estudiossociologicos.colmex.mx/index.php/es/article/download/1513/1663","application/pdf","vor","text-mining",NA,185
"10.24201/es.2018v36n106.1513","https://estudiossociologicos.colmex.mx/index.php/es/article/download/1513/1663","unspecified","vor","similarity-checking",NA,186
"10.1007/978-3-8350-9131-3","http://link.springer.com/content/pdf/10.1007/978-3-8350-9131-3.pdf","application/pdf","vor","text-mining",NA,187
"10.1007/978-3-8350-9131-3","http://link.springer.com/content/pdf/10.1007/978-3-8350-9131-3","unspecified","vor","similarity-checking",NA,188
"10.1177/0095399715593316","http://journals.sagepub.com/doi/pdf/10.1177/0095399715593316","application/pdf","vor","text-mining","en",189
"10.1177/0095399715593316","http://journals.sagepub.com/doi/pdf/10.1177/0095399715593316","unspecified","vor","similarity-checking","en",190
"10.1111/jols.12034","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fjols.12034","application/pdf","vor","text-mining","en",191
"10.1111/jols.12034","http://onlinelibrary.wiley.com/wol1/doi/10.1111/jols.12034/fullpdf","unspecified","vor","similarity-checking","en",192
